Layer,Name,GEOID,INC_2019-2023
Community area,Rogers Park,1,"$58,876"
Community area,Norwood Park,10,"$111,519"
Community area,Jefferson Park,11,"$95,956"
Community area,Forest Glen,12,"$142,351"
Community area,North Park,13,"$68,943"
Community area,Albany Park,14,"$83,578"
Community area,Portage Park,15,"$89,728"
Community area,Irving Park,16,"$89,589"
Community area,Dunning,17,"$84,669"
Community area,Montclare,18,"$77,047"
Community area,Belmont Cragin,19,"$67,749"
Community area,West Ridge,2,"$73,520"
Community area,Hermosa,20,"$66,920"
Community area,Avondale,21,"$92,639"
Community area,Logan Square,22,"$108,483"
Community area,Humboldt Park,23,"$54,944"
Community area,West Town,24,"$138,828"
Community area,Austin,25,"$51,909"
Community area,West Garfield Park,26,"$36,481"
Community area,East Garfield Park,27,"$38,452"
Community area,Near West Side,28,"$115,209"
Community area,North Lawndale,29,"$41,907"
Community area,Uptown,3,"$70,488"
Community area,South Lawndale,30,"$53,031"
Community area,Lower West Side,31,"$73,640"
Community area,Loop,32,"$119,589"
Community area,Near South Side,33,"$126,580"
Community area,Armour Square,34,"$44,802"
Community area,Douglas,35,"$59,244"
Community area,Oakland,36,"$27,514"
Community area,Fuller Park,37,"$21,122"
Community area,Grand Boulevard,38,"$55,584"
Community area,Kenwood,39,"$63,961"
Community area,Lincoln Square,4,"$90,780"
Community area,Washington Park,40,"$35,408"
Community area,Hyde Park,41,"$70,984"
Community area,Woodlawn,42,"$39,291"
Community area,South Shore,43,"$42,246"
Community area,Chatham,44,"$48,255"
Community area,Avalon Park,45,"$50,207"
Community area,South Chicago,46,"$45,283"
Community area,Burnside,47,"$46,614"
Community area,Calumet Heights,48,"$67,996"
Community area,Roseland,49,"$52,912"
Community area,North Center,5,"$147,399"
Community area,Pullman,50,"$57,025"
Community area,South Deering,51,"$42,499"
Community area,East Side,52,"$60,567"
Community area,West Pullman,53,"$49,571"
Community area,Riverdale,54,"$19,810"
Community area,Hegewisch,55,"$58,211"
Community area,Garfield Ridge,56,"$90,556"
Community area,Archer Heights,57,"$66,618"
Community area,Brighton Park,58,"$58,031"
Community area,McKinley Park,59,"$76,305"
Community area,Lake View,6,"$116,953"
Community area,Bridgeport,60,"$74,269"
Community area,New City,61,"$52,449"
Community area,West Elsdon,62,"$71,293"
Community area,Gage Park,63,"$57,209"
Community area,Clearing,64,"$78,550"
Community area,West Lawn,65,"$72,860"
Community area,Chicago Lawn,66,"$49,282"
Community area,West Englewood,67,"$37,787"
Community area,Englewood,68,"$30,723"
Community area,Greater Grand Crossing,69,"$43,894"
Community area,Lincoln Park,7,"$157,080"
Community area,Ashburn,70,"$82,939"
Community area,Auburn Gresham,71,"$47,087"
Community area,Beverly,72,"$127,241"
Community area,Washington Heights,73,"$69,874"
Community area,Mount Greenwood,74,"$113,204"
Community area,Morgan Park,75,"$76,705"
Community area,O'Hare,76,"$75,467"
Community area,Edgewater,77,"$74,955"
Community area,Near North Side,8,"$127,996"
Community area,Edison Park,9,"$130,498"
