Layer,Name,GEOID,HCSPCPP_2023-2024
Community area,Rogers Park,1,73.7
Community area,Norwood Park,10,88.5
Community area,Jefferson Park,11,78.0
Community area,Forest Glen,12,91.8
Community area,North Park,13,91.0
Community area,Albany Park,14,85.5
Community area,Portage Park,15,84.8
Community area,Irving Park,16,70.2
Community area,Dunning,17,88.4
Community area,Montclare,18,89.4
Community area,Belmont Cragin,19,76.9
Community area,West Ridge,2,84.4
Community area,Hermosa,20,64.0
Community area,Avondale,21,76.8
Community area,Logan Square,22,76.0
Community area,Humboldt Park,23,80.8
Community area,West Town,24,75.5
Community area,Austin,25,79.9
Community area,West Garfield Park,26,74.3
Community area,East Garfield Park,27,78.9
Community area,Near West Side,28,78.7
Community area,North Lawndale,29,89.8
Community area,Uptown,3,80.4
Community area,South Lawndale,30,71.8
Community area,Lower West Side,31,74.5
Community area,Loop,32,82.0
Community area,Near South Side,33,81.9
Community area,Armour Square,34,86.8
Community area,Douglas,35,83.9
Community area,Oakland,36,82.7
Community area,Fuller Park,37,77.1
Community area,Grand Boulevard,38,85.0
Community area,Kenwood,39,81.7
Community area,Lincoln Square,4,76.7
Community area,Washington Park,40,68.0
Community area,Hyde Park,41,76.5
Community area,Woodlawn,42,84.4
Community area,South Shore,43,78.5
Community area,Chatham,44,87.6
Community area,Avalon Park,45,84.4
Community area,South Chicago,46,69.5
Community area,Burnside,47,87.4
Community area,Calumet Heights,48,84.6
Community area,Roseland,49,89.0
Community area,North Center,5,85.1
Community area,Pullman,50,85.5
Community area,South Deering,51,78.4
Community area,East Side,52,78.9
Community area,West Pullman,53,87.9
Community area,Riverdale,54,81.2
Community area,Hegewisch,55,86.5
Community area,Garfield Ridge,56,86.2
Community area,Archer Heights,57,86.5
Community area,Brighton Park,58,81.3
Community area,McKinley Park,59,75.6
Community area,Lake View,6,78.2
Community area,Bridgeport,60,78.8
Community area,New City,61,76.0
Community area,West Elsdon,62,74.4
Community area,Gage Park,63,82.1
Community area,Clearing,64,87.3
Community area,West Lawn,65,84.9
Community area,Chicago Lawn,66,79.1
Community area,West Englewood,67,71.7
Community area,Englewood,68,72.5
Community area,Greater Grand Crossing,69,82.4
Community area,Lincoln Park,7,86.9
Community area,Ashburn,70,80.9
Community area,Auburn Gresham,71,87.1
Community area,Beverly,72,94.2
Community area,Washington Heights,73,80.5
Community area,Mount Greenwood,74,91.3
Community area,Morgan Park,75,83.7
Community area,O'Hare,76,83.6
Community area,Edgewater,77,85.0
Community area,Near North Side,8,74.4
Community area,Edison Park,9,88.6
