Name,GEOID,EKR_2024
Rogers Park,1,72.08
Norwood Park,10,72.08
Jefferson Park,11,72.08
Forest Glen,12,68.45
North Park,13,43.66
Albany Park,14,65.02
Portage Park,15,61.09
Irving Park,16,72.07
Dunning,17,46.65
Montclare,18,72.08
Belmont Cragin,19,59.19
West Ridge,2,57.24
Hermosa,20,72.01
Avondale,21,72.08
Logan Square,22,71.53
Humboldt Park,23,66.40
West Town,24,71.32
Austin,25,70.11
West Garfield Park,26,72.07
East Garfield Park,27,72.04
Near West Side,28,72.08
North Lawndale,29,71.14
Uptown,3,71.10
South Lawndale,30,67.28
Lower West Side,31,72.08
Loop,32,72.07
Near South Side,33,72.08
Armour Square,34,72.08
Douglas,35,72.08
Oakland,36,72.08
Fuller Park,37,72.07
Grand Boulevard,38,72.08
Kenwood,39,72.08
Lincoln Square,4,70.57
Washington Park,40,72.08
Hyde Park,41,72.08
Woodlawn,42,71.66
South Shore,43,61.44
Chatham,44,71.36
Avalon Park,45,72.08
South Chicago,46,81.69
Burnside,47,72.08
Calumet Heights,48,79.63
Roseland,49,71.72
North Center,5,71.75
Pullman,50,72.08
South Deering,51,74.36
East Side,52,85.63
West Pullman,53,70.12
Riverdale,54,71.85
Hegewisch,55,70.55
Garfield Ridge,56,89.65
Archer Heights,57,81.77
Brighton Park,58,72.09
McKinley Park,59,72.08
Lake View,6,71.38
Bridgeport,60,72.08
New City,61,71.06
West Elsdon,62,99.20
Gage Park,63,72.13
Clearing,64,90.49
West Lawn,65,94.94
Chicago Lawn,66,70.56
West Englewood,67,72.08
Englewood,68,72.08
Greater Grand Crossing,69,72.08
Lincoln Park,7,70.91
Ashburn,70,71.58
Auburn Gresham,71,72.08
Beverly,72,72.08
Washington Heights,73,72.08
Mount Greenwood,74,46.97
Morgan Park,75,71.26
O'Hare,76,95.77
Edgewater,77,72.08
Near North Side,8,70.96
Edison Park,9,69.59
